0.85449,0.89327,0.88186,0.87213,0.95320,0.88186
0.72021,0.79580,0.71717,0.75964,0.91956,0.71717
0.73608,0.79489,0.60744,0.56724,0.91576,0.60744
0.76231,0.81648,0.59355,0.49146,0.92476,0.59355
0.56457,0.63175,0.42386,0.45680,0.89624,0.42386
0.44598,0.57785,0.37614,0.32297,0.91274,0.37614
0.43972,0.55725,0.48743,0.31982,0.88289,0.48743
0.51379,0.64552,0.21641,0.26429,0.83805,0.21641
0.41001,0.45528,0.23568,0.26380,0.78630,0.23568
0.37318,0.40165,0.21317,0.25823,0.74909,0.21317
0.33376,0.34952,0.20320,0.25772,0.70364,0.20320
0.31168,0.30993,0.20982,0.27419,0.64328,0.20982
0.29873,0.27931,0.22028,0.30188,0.61525,0.22028
0.27946,0.24666,0.24296,0.34907,0.57816,0.24296
0.25559,0.21814,0.27086,0.39729,0.55364,0.27086
0.22945,0.19372,0.33490,0.46330,0.51496,0.33490
0.20996,0.18668,0.36426,0.52349,0.48815,0.36426
0.19411,0.16792,0.40525,0.59672,0.47590,0.40525
0.20175,0.17504,0.43605,0.66343,0.48071,0.43605
0.18545,0.17309,0.46918,0.71178,0.48867,0.46918
0.16270,0.16205,0.48521,0.76862,0.51228,0.48521
0.15461,0.15998,0.49814,0.79905,0.52442,0.49814
0.14894,0.16610,0.49236,0.81763,0.55173,0.49236
0.13574,0.17799,0.49061,0.80564,0.57318,0.49061
0.13210,0.19216,0.49031,0.77477,0.59886,0.49031
0.13011,0.20645,0.45392,0.74234,0.64464,0.45392
0.14123,0.23245,0.43533,0.69478,0.68647,0.43533
0.16927,0.25273,0.40759,0.64245,0.71850,0.40759
0.19016,0.25685,0.37635,0.61315,0.76608,0.37635
0.22440,0.26750,0.35557,0.57952,0.78748,0.35557
0.25127,0.26671,0.33169,0.55391,0.80216,0.33169
0.26807,0.25388,0.33201,0.51900,0.79280,0.33201
0.28445,0.24059,0.32136,0.48984,0.80342,0.32136
0.29476,0.23014,0.34428,0.47824,0.80776,0.34428
0.28435,0.22270,0.35395,0.48071,0.80002,0.35395
0.27901,0.22160,0.37445,0.48867,0.78032,0.37445
0.26644,0.21270,0.37804,0.51228,0.73987,0.37804
0.24774,0.20370,0.38715,0.52442,0.71390,0.38715
0.22537,0.19592,0.40181,0.55173,0.67164,0.40181
